Source	Target	Weight
240	292	75.6983012825395
244	240	32.6568254194578
244	195	75.963662430873
244	248	31.9601630155553
244	296	75.9084680590244
248	244	31.9601630155553
248	250	69.1595522815654
248	252	33.1287320903255
248	302	76.132413683376
250	248	69.1595522815654
252	248	33.1287320903255
252	254	61.7930639463341
252	256	30.276982930823
252	289	62.2494791402092
254	252	61.7930639463341
256	252	30.276982930823
258	202	77.1324009221776
258	260	42.6935246914528
258	339	143.563052196477
260	258	42.6935246914528
260	204	74.2178893364406
260	264	33.3133225167844
260	308	53.9973699152064
264	260	33.3133225167844
264	208	74.4318624583851
264	268	32.4000240423135
264	310	53.4053985418367
268	264	32.4000240423135
268	216	74.646825864162
268	272	30.6863170032198
268	313	52.0703810737897
272	268	30.6863170032198
272	220	74.8440202505933
272	276	33.4567125361281
272	315	52.3010933283892
276	272	33.4567125361281
276	224	75.0618914616811
276	282	33.6113512210422
276	317	57.0299244226748
280	128	1402.88286256469
282	276	33.6113512210422
282	228	75.2881293358889
282	286	32.7804535124262
282	327	63.1110832319475
286	282	32.7804535124262
286	236	75.5148020741555
286	292	30.757472227669
286	329	64.4281714554371
289	252	62.2494791402092
292	286	30.757472227669
292	240	75.6983012825395
292	296	32.5535837187152
292	331	69.2946136930198
296	292	32.5535837187152
296	244	75.9084680590244
296	302	33.0988083428703
296	333	83.3252893008286
299	109	608.213615967398
299	312	132.062986481468
299	349	153.494040463218
302	296	33.0988083428703
302	248	76.132413683376
302	306	2.17544415415952
302	337	89.3581000982392
306	302	2.17544415415952
308	260	53.9973699152064
310	264	53.4053985418367
312	299	132.062986481468
313	268	52.0703810737897
315	272	52.3010933283892
317	276	57.0299244226748
320	211	142.653148609494
320	324	54.9015747773767
320	325	61.8698414179237
321	231	264.779377400722
321	324	23.0321349877881
324	320	54.9015747773767
324	321	23.0321349877881
325	320	61.8698414179237
327	282	63.1110832319475
329	286	64.4281714554371
331	292	69.2946136930198
333	296	83.3252893008286
335	336	166.537508207644
335	420	962.087055045718
335	454	539.819088799191
336	335	166.537508207644
337	302	89.3581000982392
339	340	553.514637217545
339	258	143.563052196477
339	432	457.490953573351
340	339	553.514637217545
344	103	853.091524353708
344	346	1592.00542253843
344	347	18.8621219319803
346	344	1592.00542253843
346	157	32.8553374024313
347	344	18.8621219319803
347	358	114.786407474842
347	451	1639.30121965456
349	299	153.494040463218
349	360	287.556209820288
349	383	255.940988707557
351	352	289.173488436197
351	353	97.2449483684081
351	367	161.077228539962
352	351	289.173488436197
353	351	97.2449483684081
353	355	61.4586779399944
353	443	413.248247121862
355	353	61.4586779399944
358	347	114.786407474842
358	535	159.062854161217
360	349	287.556209820288
360	361	472.650199197149
360	390	228.462116254338
361	360	472.650199197149
364	128	776.391133986312
364	365	240.626547933101
364	410	395.061504813287
364	558	1589.30976469185
365	364	240.626547933101
367	351	161.077228539962
367	370	105.330175634684
367	446	276.054289125234
370	367	105.330175634684
370	372	152.902683124957
370	374	78.0246618442572
370	393	113.551325636038
372	370	152.902683124957
374	370	78.0246618442572
374	375	150.478106435849
374	378	78.7294591042618
375	374	150.478106435849
378	374	78.7294591042618
378	379	153.39792206088
378	382	76.7275503254651
378	399	112.951464861558
379	378	153.39792206088
382	378	76.7275503254651
383	349	255.940988707557
383	390	175.689307645696
383	465	283.306972704246
386	172	932.594753523106
386	388	573.985156699027
386	410	77.6149609051458
388	386	573.985156699027
390	360	228.462116254338
390	383	175.689307645696
390	405	103.904499092668
390	450	234.589630210232
393	394	83.5438717783943
393	370	113.551325636038
393	397	78.3446983862526
393	417	60.9459589252703
394	393	83.5438717783943
397	393	78.3446983862526
397	399	78.9067558157226
397	424	60.5340922909293
399	397	78.9067558157226
399	378	112.951464861558
399	403	81.2253067439363
399	428	60.1187955455654
403	399	81.2253067439363
405	406	199.920294745629
405	390	103.904499092668
405	406	223.896384219224
406	405	199.920294745629
406	405	223.896384219224
406	492	608.335013698311
410	364	395.061504813287
410	386	77.6149609051458
410	420	299.91435548143
413	414	543.767074004227
413	160	136.770098285319
414	413	543.767074004227
417	393	60.9459589252703
417	424	78.9201142716506
417	439	41.3920523285396
420	410	299.91435548143
420	335	962.087055045718
420	436	165.77714833796
420	515	616.097004338651
424	417	78.9201142716506
424	397	60.5340922909293
424	428	78.6035965759678
424	437	24.8611738511158
428	424	78.6035965759678
428	399	60.1187955455654
428	442	41.3767611434521
431	432	1520.21247768357
432	431	1520.21247768357
432	339	457.490953573351
432	460	138.789410001896
436	420	165.77714833796
436	454	745.2471945212
436	462	154.434003082982
437	424	24.8611738511158
439	417	41.3920523285396
442	428	41.3767611434521
443	353	413.248247121862
443	446	89.4395742651681
443	484	152.057965258349
446	443	89.4395742651681
446	367	276.054289125234
446	458	593.564806402965
450	390	234.589630210232
450	465	107.759612862267
450	513	571.650411006195
451	347	1639.30121965456
454	436	745.2471945212
454	335	539.819088799191
454	464	509.240068228493
458	446	593.564806402965
460	432	138.789410001896
460	735	28.5200407284992
462	436	154.434003082982
462	478	71.8940824693657
462	482	539.481306654695
464	454	509.240068228493
464	470	430.082372582187
464	474	58.3822425794385
465	383	283.306972704246
465	450	107.759612862267
465	502	137.48491402398
470	464	430.082372582187
470	472	942.322888531038
470	476	26.2202516438985
472	470	942.322888531038
474	464	58.3822425794385
474	494	281.44931750367
474	504	60.7487327935733
476	470	26.2202516438985
476	484	112.363191565395
476	498	54.1373572770391
478	462	71.8940824693657
478	490	43.7599321252241
478	495	225.588923813231
480	117	1268.99199040408
480	488	617.871081560842
480	570	601.484864533108
482	462	539.481306654695
484	476	112.363191565395
484	443	152.057965258349
484	518	885.540283841493
488	480	617.871081560842
